id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2472517,2 BR Apt w/ Abundant Daylight.,12326516,Ck,,Yau Tsim Mong,22.31338,114.1677,Entire home/apt,580,1,329,2022-08-26,3.18,1,232,4,
2527002,Flat Share in Sham Shui Po,4584648,Ivy,,Wong Tai Sin,22.33856,114.21525,Private room,180,30,1,2015-11-05,0.01,384,365,0,
2532565,銅鑼灣羅馬假日賓館,12970634,Sandy,,Wan Chai,22.27757,114.18403,Private room,250,30,13,2017-12-26,0.13,2,172,0,
2551147,Very Nice Room ... WanChai,4584648,Ivy,,Wan Chai,22.27798,114.18068,Private room,180,30,0,,,384,365,0,
2566050,1BR for 2ppl 3mins to MongKok MTR,12404807,Melody InHK,,Yau Tsim Mong,22.31831,114.16962,Entire home/apt,283,1,203,2022-01-24,1.97,4,169,2,
2601487,Nice Causeway bay studio,4584648,Ivy,,Wan Chai,22.27822,114.18253,Private room,217,30,0,,,384,365,0,
2602519,D:2BR for 6ppl 3mins to MongKok MTR,12404807,Melody InHK,,Yau Tsim Mong,22.31661,114.17143,Entire home/apt,499,1,284,2022-07-02,2.75,4,272,6,
2604819,3BR for 8ppl 3mins to MongKok MTR,12404807,Melody InHK,,Yau Tsim Mong,22.31841,114.17118,Entire home/apt,1014,1,77,2019-11-01,0.76,4,163,0,
2612849,B:2BR for 6ppl 3mins to MongKok MTR,12404807,Melody InHK,,Yau Tsim Mong,22.31652,114.17006,Entire home/apt,464,1,228,2022-06-29,2.21,4,255,3,
2646158,Prince Edward nice room,4584648,Ivy,,Wan Chai,22.2781,114.18333,Private room,180,30,0,,,384,365,0,
2648857,New 2BRS Mong Kok MTR Fit 6ppl,13527132,Vincent,,Yau Tsim Mong,22.31968,114.16605,Entire home/apt,2000,3,5,2018-10-31,0.08,3,21,0,
2653430,flatshare Causeway Bay,4584648,Ivy,,Wan Chai,22.28102,114.18248,Private room,180,30,1,2015-06-29,0.01,384,365,0,
2653478,Nice presented room in causeway bay(c2d),4584648,Ivy,,Wan Chai,22.27675,114.18003,Private room,180,30,0,,,384,364,0,
2757546,bedroom en-suite/roof top/spacious,14106467,Roberto,,Wan Chai,22.26772,114.1871,Private room,500,1,8,2019-09-07,0.08,1,350,0,
2789756,Luxury 2 bedrooms apt in Hung Hom,14269332,Chung Hon,,Yau Tsim Mong,22.29946,114.1854,Entire home/apt,2285,2,13,2017-11-30,0.13,1,365,0,
2794976,"2 rooms 1 hall, 30's YMT MTR",3704487,Daniel,,Yau Tsim Mong,22.31273,114.17104,Entire home/apt,857,28,55,2021-05-31,0.54,3,0,0,
2856944,Luxury Penthouse w/ Panoramic view Private Rooftop,13861366,Wei,,Central & Western,22.27655,114.15612,Entire home/apt,2623,3,41,2022-08-07,0.54,3,334,3,
2868081,Visitor monthly rent 月租單位,14661584,Wendy,,Eastern,22.28763,114.19232,Private room,700,30,1,2014-09-03,0.01,1,84,0,
2881042,Tsim Sha Tsui MTR Double Rm with private washroom,14626463,Wendy,,Yau Tsim Mong,22.29767,114.17158,Private room,1210,1,15,2019-10-02,0.18,3,126,0,
2881064,Tsim Sha Tsui Nice and cozy small double ensuite,14626463,Wendy,,Yau Tsim Mong,22.29588,114.17171,Private room,968,1,40,2019-08-25,0.42,3,104,0,
2909327,CWB Clean & Modern Reno in HEART of HK *2B,14861546,Tane Residence,,Wan Chai,22.28008,114.18609,Entire home/apt,378,60,6,2016-06-26,0.06,115,260,0,
2939697,"Nice Flatshare, Sheung Wan",4584648,Ivy,,Central & Western,22.28579,114.14907,Private room,180,30,0,,,384,365,0,
2970176,CWB Clean & Modern Reno in HEART of HK *2C,14861546,Tane Residence,,Wan Chai,22.27859,114.18473,Entire home/apt,333,30,44,2022-07-16,0.44,115,365,2,
2970536,CWB Clean & Modern Reno in HEART of HK *2A,14861546,Tane Residence,,Wan Chai,22.27993,114.18438,Entire home/apt,468,30,28,2016-04-24,0.28,115,312,0,
2989687,Room w/ROOFTOP in Yau Ma Tei,4584648,Ivy,,Yau Tsim Mong,22.31281,114.17039,Private room,180,30,0,,,384,365,0,
2989858,Small room available  near HKU,4584648,Ivy,,Central & Western,22.28469,114.15372,Private room,180,30,2,2016-08-21,0.02,384,364,0,
2989907,Super Convenient Room in Central,4584648,Ivy,,Central & Western,22.27839,114.15166,Private room,180,31,1,2018-01-06,0.02,384,365,0,
2990012,Nice flatshare in Midlevel central,4584648,Ivy,,Central & Western,22.28392,114.1487,Private room,180,30,0,,,384,365,0,
2998886,Twin room at Tsim Sha Tsui,14626463,Wendy,,Yau Tsim Mong,22.29609,114.17031,Private room,1430,1,0,,,3,77,0,
2999248,Share flat in Sheung Wan,4584648,Ivy,,Central & Western,22.28593,114.15242,Private room,180,30,0,,,384,365,0,
2999296,Room in Share flat in Sheung Wan,4584648,Ivy,,Central & Western,22.28662,114.14769,Private room,180,30,1,2014-09-15,0.01,384,344,0,
2999332,Nice Flatshare in Wan Chai,4584648,Ivy,,Wan Chai,22.27834,114.17328,Private room,180,30,1,2014-10-13,0.01,384,365,0,
2999376,Best Place to Stay in HK~Quarry bay Room (q1b),4584648,Ivy,,Eastern,22.28807,114.20923,Private room,174,30,0,,,384,365,0,
2999430,Room in Tin Hau,4584648,Ivy,,Wan Chai,22.28339,114.19076,Private room,180,30,1,2014-08-17,0.01,384,365,0,
3002319,Sai Ying Pun MTR 1 min walk withrooftop terrace 63,304876,Brend,,Central & Western,22.28835,114.14827,Entire home/apt,707,2,125,2022-08-21,1.27,10,199,4,
3021624,Wanchai cozy 3BR+2Bath for 5 (Heart of HK),15397373,Carina,,Wan Chai,22.27891,114.17636,Entire home/apt,1118,2,162,2022-09-09,1.61,1,206,17,
3052764,Walk To HKU. Room in STT,4584648,Ivy,,Central & Western,22.28731,114.13867,Private room,180,30,0,,,384,350,0,
3068952,ULTIMATE Exec Pad / Staycation in Taikoo Shing,15618499,Martin,,Eastern,22.286547,114.214851,Entire home/apt,1150,6,7,2022-08-17,0.71,1,0,7,
3069740,1 bdrm shared apartment @ HK Uni 1,304876,Brend,,Central & Western,22.28436,114.13802,Private room,377,4,40,2022-09-09,0.42,10,283,3,
3069823,1 bdrm shared apartment @ HK Uni 2,304876,Brend,,Central & Western,22.28543,114.13787,Private room,385,5,19,2022-08-21,0.19,10,288,1,
3069856,1 bdrm shared apartment @ HK Uni 3,304876,Brend,,Central & Western,22.28401,114.13914,Private room,353,4,12,2019-09-04,0.13,10,139,0,
3069865,1 bdrm shared apartment @ HK Uni 4,304876,Brend,,Central & Western,22.28431,114.13778,Private room,353,5,17,2022-03-25,0.17,10,337,1,
3085792,INCREDIBLE Architect Design DUPLEX,15586744,Sven,,Sha Tin,22.38455,114.1877,Entire home/apt,1550,28,7,2018-02-28,0.07,15,341,0,
3106194,Central Room in share flat,4584648,Ivy,,Central & Western,22.28513,114.15157,Private room,180,30,0,,,384,365,0,
3115717,Short-term stay in Hong Kong,15831550,Timothy,,Islands,22.30425,114.00937,Entire home/apt,1200,2,127,2022-08-28,1.26,1,347,7,
